Player,Team,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Jalen Coker,CAR,WR72,0,2.3,0,38.9,487.9,2.4,0.1,102.2
Tyler Allgeier,ARI,RB47,121.3,555.1,3.3,13.8,102.1,0.4,0.8,100.2
Bhayshul Tuten,JAC,RB48,106.6,448.9,3.1,18.5,145.1,0.9,0.9,99.8
Jalen Tolbert,MIA,WR73,0,0,0,35.7,422,3.6,0.1,99.2
Tory Horton,SEA,WR74,1,8,0,36.8,485.5,2.5,1,98.8
Elijah Arroyo,SEA,TE29,0,0,0,40,424.1,2.8,0.4,98.6
Rico Dowdle,PIT,RB49,93.1,416.2,2.4,22.4,151.8,1.1,0.8,98.3
Troy Franklin,DEN,WR75,1.1,6.1,0,34.6,434.2,3.3,0.1,98.1
Ray Davis,BUF,RB50,114.6,485.6,3.7,12.4,105.6,1,0.8,97.7
Dyami Brown,WAS,WR76,0.7,6.8,0,35.7,455,2.5,0.5,96.1
Nick Westbrook-Ikhine,IND,WR77,0,1.3,0,31.3,427.2,3.7,0.1,96
Braelon Allen,NYJ,RB51,116.6,440.4,3,16.8,126.5,0.8,0.4,95.5
Pat Bryant,DEN,WR78,0,0,0,34.2,416.6,3.1,0.1,94
Kyle Williams,NE,WR79,2.1,13.3,0,33.5,428.5,2.5,0.4,92.2
Andrei Iosivas,CIN,WR80,0,0,0,31.2,379.2,3.7,0.1,90.9
Kayshon Boutte,NE,WR81,0,0,0,31.9,428.1,2.7,0.1,90.6
Noah Fant,NO,TE30,0,0,0,37.2,381,2.4,0.1,89.9
Jordan Whittington,LAR,WR82,1.1,13.9,0,33.9,395,2.4,0.1,89
Elic Ayomanor,TEN,WR83,0,5.7,0,33.3,404.6,2.3,0.1,88
Kendre Miller,NO,RB52,110.2,416.5,3.7,12,90,0.2,0.5,85.1
Ollie Gordon II,MIA,RB53,96.7,410.2,3.4,12.4,94.9,0.5,1.1,84
Justice Hill,BAL,RB54,41.9,185.3,1.2,27.3,221.2,1.7,0.4,83.9
Greg Dortch,DET,WR84,4.8,30.6,0.1,33,329.1,2.5,0.4,83.5
Roman Wilson,PIT,WR85,0,0,0,30.3,378.5,2.6,0.1,83.4
Roschon Johnson,CHI,RB55,86.7,300.8,4.2,14.9,98.1,0.4,0.1,82.5
Tre Tucker,LV,WR86,5.6,31.6,0.3,28.4,359.4,2.1,0.1,82.3
Isaac TeSlaa,DET,WR87,0,0,0,28.4,375.3,2.3,0.1,79.6
Tyler Conklin,DET,TE31,0,0,0,33.5,324.6,2.3,0,79.5
Adonai Mitchell,NYJ,WR88,2.9,9.5,0.1,28.3,371,2.2,0.4,78.8
Brian Robinson Jr.,ATL,RB56,106.3,427,3.5,8.1,66.5,0.4,1.2,78.5
Jaylen Wright,MIA,RB57,108.2,426.9,2.8,10.5,71.2,0.5,1.1,77.5
Noah Gray,KC,TE32,0,0.5,0,30.1,307.9,2.8,0.1,77.4
AJ Barner,SEA,TE33,0,0,0,32.3,305.6,2.4,0.1,77.1
Jamari Thrash,CLE,WR89,0,0,0,29.5,355.8,1.9,0.1,76.2
Dontayvion Wicks,PHI,WR90,0,1.3,0,25.6,321.4,3,0,75.8
Malik Washington,MIA,WR91,2,13.8,0.1,30,313,1.8,0.6,72.8
Raheem Mostert,LV,RB58,77.2,278.3,2.4,16.3,121,0.6,0.8,72.5
Blake Corum,LAR,RB59,93.4,347.4,2.3,12.6,93.1,0.3,0.4,71.7
Woody Marks,HOU,RB60,58.4,234.6,1.6,19.4,144.5,0.8,0.1,71.6
KaVontae Turpin,DAL,WR92,8.3,57.9,0.5,23.7,289.7,1.9,0.7,71.3
Harold Fannin Jr.,CLE,TE34,0,0,0,30.7,303.4,1.8,0.4,70.9
Christian Watson,GB,WR93,3.3,14,0,19.9,355.3,2.3,0.4,70.1
Austin Hooper,ATL,TE35,0,0,0,29.6,294.7,1.9,0.4,69.5
Dont'e Thornton Jr.,LV,WR94,0,2,0,24.9,324.6,2,0.1,69.4
MarShawn Lloyd,GB,RB61,87.5,313.9,2.5,11,88.3,0.6,0.4,69.3
Cole Kmet,CHI,TE36,0,0,0,28.4,272.7,2.3,0.4,68.5
Samaje Perine,CIN,RB62,49.5,201.6,1.3,18.4,161.8,0.9,0.7,66.8
Devaughn Vele,NO,WR95,0,1.7,0,27.5,292,1.7,0.2,66.6
Ty Johnson,BUF,RB63,45.2,206,0.9,15.1,165.3,1.5,0.1,66.5
Michael Mayer,LV,TE37,0,0,0,28.5,262.1,1.8,0.1,65.3
Van Jefferson,WAS,WR96,0,0,0,23.6,303.8,1.9,0.1,65.2
Jalen Nailor,LV,WR97,1.8,3.1,0,21,285.6,2.6,0.4,64.8
Tahj Brooks,CIN,RB64,66.1,266.1,2.1,12.4,103.6,0.7,1,64.2
Keaton Mitchell,LAC,RB65,66.1,322.4,1.7,9.1,85.5,0.5,0,63.2
