Player,Team,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Dalton Schultz,HOU,TE22,0,0,0,48.8,503.8,3.2,0.4,93
Isaiah Likely,NYG,TE23,0,0,0,39.5,468.3,4.6,0.7,93
Pat Freiermuth,PIT,TE24,0,0,0,50.9,488.4,3.4,0.9,92.8
Ray Davis,BUF,RB47,114.6,485.6,3.7,12.4,105.6,1,0.8,91.5
Juwan Johnson,NO,TE25,0,0,0,47,486.4,3.2,0.2,90.9
Theo Johnson,NYG,TE26,0,0,0,46.5,507.7,2.8,0.1,90.6
Bhayshul Tuten,JAC,RB48,106.6,448.9,3.1,18.5,145.1,0.9,0.9,90.5
Alec Pierce,IND,WR67,0,0,0,31.1,536.5,3.5,0.1,89.9
Tyjae Spears,TEN,RB49,83.1,335.3,2.5,28.4,212,1,0.5,89.1
Rico Dowdle,PIT,RB50,93.1,416.2,2.4,22.4,151.8,1.1,0.8,87.2
Braelon Allen,NYJ,RB51,116.6,440.4,3,16.8,126.5,0.8,0.4,87.1
Quentin Johnston,LAC,WR68,1.7,7.3,0,34.4,452,4.1,0.4,87
Darius Slayton,NYG,WR69,1.4,6.4,0,35.5,534.3,2.5,0.2,86.9
Tyler Higbee,LAR,TE27,0,0,0,45.2,423.9,3.7,0.1,86.8
Tutu Atwell,MIA,WR70,4.3,20.2,0.1,39.9,507.9,2.2,0.1,86.4
DeAndre Hopkins,BAL,WR71,0,0.5,0,34.1,434.5,4.2,0.1,85.3
Jalen Coker,CAR,WR72,0,2.3,0,38.9,487.9,2.4,0.1,82.7
Jalen Tolbert,MIA,WR73,0,0,0,35.7,422,3.6,0.1,81.4
Troy Franklin,DEN,WR74,1.1,6.1,0,34.6,434.2,3.3,0.1,80.8
Ja'Tavion Sanders,CAR,TE28,0,0,0,44.2,442.4,2.4,0.1,80.7
Tory Horton,SEA,WR75,1,8,0,36.8,485.5,2.5,1,80.4
Nick Westbrook-Ikhine,IND,WR76,0,1.3,0,31.3,427.2,3.7,0.1,80.3
Kendre Miller,NO,RB52,110.2,416.5,3.7,12,90,0.2,0.5,79.1
Elijah Arroyo,SEA,TE29,0,0,0,40,424.1,2.8,0.4,78.6
Dyami Brown,WAS,WR77,0.7,6.8,0,35.7,455,2.5,0.5,78.2
Ollie Gordon II,MIA,RB53,96.7,410.2,3.4,12.4,94.9,0.5,1.1,77.8
Pat Bryant,DEN,WR78,0,0,0,34.2,416.6,3.1,0.1,76.9
Kyle Williams,NE,WR79,2.1,13.3,0,33.5,428.5,2.5,0.4,75.5
Andrei Iosivas,CIN,WR80,0,0,0,31.2,379.2,3.7,0.1,75.3
Roschon Johnson,CHI,RB54,86.7,300.8,4.2,14.9,98.1,0.4,0.1,75.1
Kayshon Boutte,NE,WR81,0,0,0,31.9,428.1,2.7,0.1,74.6
Brian Robinson Jr.,ATL,RB55,106.3,427,3.5,8.1,66.5,0.4,1.2,74.4
Jaylen Wright,MIA,RB56,108.2,426.9,2.8,10.5,71.2,0.5,1.1,72.2
Jordan Whittington,LAR,WR82,1.1,13.9,0,33.9,395,2.4,0.1,72.1
Elic Ayomanor,TEN,WR83,0,5.7,0,33.3,404.6,2.3,0.1,71.3
Noah Fant,NO,TE30,0,0,0,37.2,381,2.4,0.1,71.3
Justice Hill,BAL,RB57,41.9,185.3,1.2,27.3,221.2,1.7,0.4,70.2
Roman Wilson,PIT,WR84,0,0,0,30.3,378.5,2.6,0.1,68.2
Tre Tucker,LV,WR85,5.6,31.6,0.3,28.4,359.4,2.1,0.1,68.1
Greg Dortch,DET,WR86,4.8,30.6,0.1,33,329.1,2.5,0.4,67
Isaac TeSlaa,DET,WR87,0,0,0,28.4,375.3,2.3,0.1,65.5
Blake Corum,LAR,RB58,93.4,347.4,2.3,12.6,93.1,0.3,0.4,65.4
Adonai Mitchell,NYJ,WR88,2.9,9.5,0.1,28.3,371,2.2,0.4,64.7
Raheem Mostert,LV,RB59,77.2,278.3,2.4,16.3,121,0.6,0.8,64.3
MarShawn Lloyd,GB,RB60,87.5,313.9,2.5,11,88.3,0.6,0.4,63.8
Dontayvion Wicks,PHI,WR89,0,1.3,0,25.6,321.4,3,0,63
Tyler Conklin,DET,TE31,0,0,0,33.5,324.6,2.3,0,62.7
Noah Gray,KC,TE32,0,0.5,0,30.1,307.9,2.8,0.1,62.3
Woody Marks,HOU,RB61,58.4,234.6,1.6,19.4,144.5,0.8,0.1,61.9
Jamari Thrash,CLE,WR90,0,0,0,29.5,355.8,1.9,0.1,61.5
AJ Barner,SEA,TE33,0,0,0,32.3,305.6,2.4,0.1,61
