Player,Team,POS,FPTS_STD,FPTS_PPR,FPTS_HPPR,ADP_STD,ADP_PPR,ADP_HPPR,RUSH_ATT,RUSH_YDS,RUSH_TDS,REC,REC_YDS,REC_TDS,FUM_LOST,QB_ATT,QB_CMP,QB_YDS,QB_TDS,QB_INTS,K_FG,K_FGA,K_XPT,DST_SACK,DST_INT,DST_FR,DST_FF,DST_TD,DST_SAFETY,DST_PA,DST_YDS_AGN,ESPN_ID,NFLREADPY_ID,HEADSHOT
Chris Rodriguez Jr.,JAX,RB62,53.5,58.9,56.2,184,274,184,70.4,318.3,2.9,5.3,40.3,0.1,0.4,,,,,,,,,,,,,,,,,4362619,00-0038611,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/z5nbh1nza9je683o17h1"
Christian Kirk,SF,WR55,90.6,144.9,117.7,144,151,158.7,0.7,4,0,54.3,698.3,3.7,0.8,,,,,,,,,,,,,,,,,3895856,00-0034775,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bugikrmfz5k4jvyaogza"
Christian McCaffrey,SF,RB5,233,297.5,265.2,10.5,8.2,7.3,245.5,1110.9,8.1,64.6,556.9,3.5,1.8,,,,,,,,,,,,,,,,,3117251,00-0033280,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/resjdwihunsqckohcorj"
Christian Watson,GB,WR89,50.2,70.1,60.2,289,340,355,3.3,14,0,19.9,355.3,2.3,0.4,,,,,,,,,,,,,,,,,4248528,00-0038124,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/syljognztlbghfeqyqn1"
Chuba Hubbard,CAR,RB15,187.6,228.6,208.1,44.5,46.2,42.3,252.3,1109.6,8.2,40.9,246.5,1.1,1.8,,,,,,,,,,,,,,,,,4241416,00-0036555,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pjgml85ghq7oa48dctn7"
Cody White,SEA,WR133,9.1,14.5,11.8,,624,,0,0,0,5.4,66.6,0.4,0,,,,,,,,,,,,,,,,,4241983,00-0035891,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt9wl5yecg6zcnfnledb"
Colby Parkinson,LAR,TE61,15.8,26.4,21.1,,475.7,,0,0,0,10.6,106.9,0.9,0,,,,,,,,,,,,,,,,,4242557,00-0036244,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/b1qzivnz0zqa8cjgah8r"
Cole Kmet,CHI,TE35,40.1,68.5,54.3,220,250.5,290,0,0,0,28.4,272.7,2.3,0.4,,,,,,,,,,,,,,,,,4258595,00-0036290,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ysnui8mzlu2fo70ub0yt"
Cole Turner,MIA,TE114,0,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,4361438,00-0037078,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/etikvhuu6qxktyrwthid"
Colson Yankoff,WAS,TE124,0,0,0,,591.5,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,4361088,00-0039686,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h26w7a1eousqky5ncxlc"
